pt,url
Juices,https://www.amazon.com/s/ref=sr_nr_n_2?fst=as%3Aoff&rh=n%3A16318171%2Ck%3AJuices&keywords=Juices&ie=UTF8&qid=1506582664&rnid=2941120011
Snack crackers,https://www.amazon.com/gp/search/ref=sr_nr_n_1?fst=as%3Aoff&rh=n%3A16322781%2Ck%3ASnack+crackers&keywords=Snack+crackers&ie=UTF8&qid=1506582782&rnid=2941120011
